Year,Event Name,Country/Region,Disaster Type,Deaths,Economic Loss (USD),Loss as % of GDP,Source,Catastrophic,Insured Loss (USD)
2024,Winter Storm in CT,CT,Winter Storm,0,3146300000.0,0,NOAA,Yes,0
2024,Drought in DE,DE,Drought,0,887000000.0,0,NOAA,No,0
2024,Flood in DE,DE,Flood,0,34700000.0,0,NOAA,No,0
2024,Freeze in DE,DE,Freeze,0,12600000.0,0,NOAA,No,0
2024,Severe Storm in DE,DE,Severe Storm,0,286200000.0,0,NOAA,No,0
2024,Tropical Cyclone in DE,DE,Tropical Cyclone,0,1034800000.0,0,NOAA,Yes,0
2024,Winter Storm in DE,DE,Winter Storm,0,934700000.0,0,NOAA,No,0
2024,Drought in FL,FL,Drought,0,1531800000.0,0,NOAA,Yes,0
2024,Flood in FL,FL,Flood,0,2944100000.0,0,NOAA,Yes,0
2024,Freeze in FL,FL,Freeze,0,13921400000.0,0,NOAA,Yes,0
2024,Severe Storm in FL,FL,Severe Storm,0,6645300000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in FL,FL,Tropical Cyclone,0,422701600000.0,0,NOAA,Yes,0
2024,Wildfire in FL,FL,Wildfire,0,306200000.0,0,NOAA,No,0
2024,Winter Storm in FL,FL,Winter Storm,0,4027900000.0,0,NOAA,Yes,0
2024,Drought in GA,GA,Drought,0,8401700000.000001,0,NOAA,Yes,0
2024,Flood in GA,GA,Flood,0,1418600000.0,0,NOAA,Yes,0
2024,Freeze in GA,GA,Freeze,0,1315000000.0,0,NOAA,Yes,0
2024,Severe Storm in GA,GA,Severe Storm,0,13120600000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in GA,GA,Tropical Cyclone,0,33040800000.000004,0,NOAA,Yes,0
2024,Wildfire in GA,GA,Wildfire,0,294800000.0,0,NOAA,No,0
2024,Winter Storm in GA,GA,Winter Storm,0,2916100000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in GU,GU,Tropical Cyclone,0,4420000000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in HI,HI,Tropical Cyclone,0,6913000000.0,0,NOAA,Yes,0
2024,Wildfire in HI,HI,Wildfire,0,5665000000.0,0,NOAA,Yes,0
2024,Drought in IA,IA,Drought,0,16507200000.0,0,NOAA,Yes,0
2024,Flood in IA,IA,Flood,0,24791500000.0,0,NOAA,Yes,0
2024,Freeze in IA,IA,Freeze,0,77600000.0,0,NOAA,No,0
2024,Severe Storm in IA,IA,Severe Storm,0,23085200000.0,0,NOAA,Yes,0
2024,Winter Storm in IA,IA,Winter Storm,0,236100000.0,0,NOAA,No,0
2024,Drought in ID,ID,Drought,0,3592600000.0,0,NOAA,Yes,0
2024,Flood in ID,ID,Flood,0,586300000.0,0,NOAA,No,0
2024,Freeze in ID,ID,Freeze,0,12600000.0,0,NOAA,No,0
2024,Wildfire in ID,ID,Wildfire,0,3557000000.0,0,NOAA,Yes,0
